unitid,year,student fte
100636,2002,
100654,2002,5260.0
100663,2002,12353.0
100690,2002,459.0
100706,2002,5281.0
100724,2002,5221.0
100733,2002,
100751,2002,17681.0
100760,2002,1308.0
100812,2002,1684.0
100830,2002,3715.0
100858,2002,21236.0
100919,2002,899.0
100937,2002,1361.0
100973,2002,186.0
101028,2002,1331.0
101073,2002,838.0
101107,2002,355.0
101116,2002,220.0
101125,2002,
101143,2002,1143.0
101161,2002,2523.0
101189,2002,2149.0
101198,2002,
101213,2002,
101231,2002,273.0
101240,2002,3642.0
101268,2002,
101277,2002,
101286,2002,3054.0
101295,2002,3917.0
101301,2002,1280.0
101347,2002,995.0
101365,2002,379.0
101435,2002,573.0
101453,2002,88.0
101462,2002,595.0
101471,2002,512.0
101480,2002,7261.0
101499,2002,1095.0
101505,2002,4113.0
101514,2002,5203.0
101523,2002,677.0
101541,2002,325.0
101569,2002,1665.0
101587,2002,1788.0
101602,2002,623.0
101648,2002,198.0
101675,2002,1704.0
101693,2002,1674.0
101709,2002,2601.0
101736,2002,3328.0
101879,2002,4645.0
101897,2002,1304.0
101912,2002,1653.0
101949,2002,1032.0
101958,2002,65.0
101994,2002,597.0
102030,2002,3149.0
102049,2002,4062.0
102067,2002,3960.0
102076,2002,1250.0
102094,2002,9436.0
102100,2002,
102216,2002,61.0
102234,2002,1204.0
102261,2002,164.0
102270,2002,1408.0
102298,2002,410.0
102313,2002,505.0
102322,2002,1240.0
102331,2002,
102359,2002,1958.0
102368,2002,11981.0
102377,2002,2912.0
102395,2002,212.0
102429,2002,2868.0
102553,2002,10228.0
102580,2002,
102614,2002,5402.0
102632,2002,1916.0
102669,2002,492.0
102711,2002,231.0
102845,2002,245.0
103246,2002,
103361,2002,399.0
103440,2002,144.0
103501,2002,227.0
103529,2002,
103644,2002,493.0
103723,2002,1955.0
103732,2002,48.0
103741,2002,206.0
103778,2002,1104.0
103787,2002,88.0
103811,2002,342.0
103893,2002,1487.0
103909,2002,
103927,2002,
103945,2002,30.0
103954,2002,34.0
103963,2002,255.0
104090,2002,249.0
104151,2002,40086.0
104160,2002,3202.0
104179,2002,32344.0
104188,2002,246.0
104294,2002,118.0
104346,2002,2752.0
104364,2002,364.0
104391,2002,72.0
104425,2002,2898.0
104434,2002,62.0
104443,2002,116.0
104504,2002,61.0
104522,2002,35.0
104531,2002,2382.0
104568,2002,75.0
104577,2002,2086.0
104586,2002,1593.0
104708,2002,10612.0
104717,2002,2303.0
104805,2002,905.0
104911,2002,111.0
104984,2002,157.0
105118,2002,394.0
105127,2002,110.0
105136,2002,
105145,2002,3260.0
105154,2002,13518.0
105163,2002,255.0
105172,2002,423.0
105206,2002,2503.0
105215,2002,1496.0
105242,2002,54.0
105297,2002,1088.0
105330,2002,15750.0
105349,2002,2145.0
105367,2002,881.0
105419,2002,160.0
105428,2002,6474.0
105482,2002,329.0
105516,2002,8112.0
105525,2002,16341.0
105534,2002,510.0
105543,2002,409.0
105589,2002,941.0
105659,2002,250.0
105668,2002,5511.0
105677,2002,30.0
105701,2002,46.0
105747,2002,6148.0
105792,2002,1897.0
105880,2002,121.0
105899,2002,259.0
105941,2002,
105987,2002,189.0
106041,2002,3035.0
106050,2002,150.0
106102,2002,1811.0
106111,2002,121.0
106148,2002,3632.0
106245,2002,8452.0
106263,2002,1743.0
106281,2002,28.0
106306,2002,169.0
106315,2002,33.0
106342,2002,506.0
106351,2002,25.0
106360,2002,73.0
106397,2002,13740.0
106412,2002,2947.0
106449,2002,2142.0
106458,2002,8857.0
106467,2002,5181.0
106476,2002,352.0
106485,2002,2221.0
106494,2002,144.0
106546,2002,746.0
106607,2002,44.0
106625,2002,943.0
106704,2002,7931.0
106713,2002,346.0
106722,2002,
106759,2002,26.0
106795,2002,535.0
106801,2002,252.0
106810,2002,140.0
106829,2002,231.0
106838,2002,23.0
106883,2002,1088.0
106892,2002,264.0
106908,2002,22.0
106935,2002,299.0
106944,2002,85.0
106980,2002,1729.0
106999,2002,950.0
107017,2002,121.0
107035,2002,123.0
107044,2002,4451.0
107071,2002,3136.0
107080,2002,1087.0
107099,2002,57.0
107123,2002,46.0
107141,2002,1588.0
107211,2002,49.0
107220,2002,58.0
107275,2002,19.0
107293,2002,24.0
107309,2002,
107318,2002,573.0
107327,2002,1458.0
107363,2002,19.0
107442,2002,60.0
107460,2002,1424.0
107488,2002,529.0
107512,2002,1606.0
107521,2002,775.0
107549,2002,758.0
107558,2002,674.0
107585,2002,1237.0
107600,2002,776.0
107619,2002,1427.0
107637,2002,1413.0
107655,2002,37.0
107664,2002,3505.0
107673,2002,204.0
107725,2002,784.0
107743,2002,688.0
107789,2002,33.0
107831,2002,55.0
107877,2002,532.0
107886,2002,28.0
107974,2002,509.0
107983,2002,2707.0
107992,2002,679.0
108056,2002,
108065,2002,14.0
108092,2002,4408.0
108199,2002,2956.0
108232,2002,5097.0
108250,2002,506.0
108269,2002,226.0
108287,2002,284.0
108348,2002,150.0
108393,2002,139.0
